,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name
3978,0.737,0.659,1,0.0768,0.201,2.37e-06,0.108,0.565,99.968,214080,4,SHINee
3979,0.782,0.811,8,0.0552,0.0985,0.0,0.479,0.723,125.036,236347,4,SHINee
3980,0.725,0.789,5,0.113,0.0315,0.0,0.0629,0.888,98.304,183440,4,SHINee
3981,0.813,0.599,5,0.0439,0.0753,0.0,0.0538,0.554,97.002,184200,4,SHINee
3982,0.834,0.779,1,0.052,0.0145,0.0,0.0889,0.695,111.987,234827,4,SHINee
3983,0.734,0.907,0,0.0713,0.123,2.43e-06,0.0963,0.905,96.028,161027,4,SHINee
3984,0.78,0.813,9,0.0736,0.031,0.0,0.313,0.702,127.914,193293,4,SHINee
3985,0.522,0.445,0,0.03,0.679,0.0,0.275,0.528,142.605,207080,4,SHINee
3986,0.668,0.83,8,0.0537,0.0528,0.0,0.271,0.543,119.905,225160,4,SHINee
3987,0.724,0.747,4,0.0644,0.157,0.0,0.137,0.526,123.078,185507,4,SHINee
3988,0.454,0.445,0,0.0317,0.683,0.0,0.273,0.536,71.572,207080,4,SHINee
3989,0.669,0.828,8,0.0539,0.0521,0.0,0.265,0.55,119.913,225160,4,SHINee
3990,0.733,0.746,9,0.0638,0.154,0.0,0.133,0.505,123.002,189520,4,SHINee
3991,0.674,0.752,5,0.0326,0.295,0.0,0.164,0.348,107.021,239721,4,SHINee
3992,0.626,0.715,0,0.0468,0.302,0.0,0.185,0.569,139.977,231307,4,SHINee
