,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
103,0.706,0.978,10,0.0715,0.012,0.000876,0.649,0.677,113.962,261867,4,*NSYNC,2000
104,0.804,0.762,11,0.0448,0.0131,0.0,0.102,0.7,114.854,248560,4,*NSYNC,2000
105,0.813,0.854,4,0.0924,0.00967,1.37e-05,0.0678,0.609,104.503,205800,4,*NSYNC,2000
106,0.55,0.581,2,0.0325,0.367,0.0,0.122,0.475,165.981,283507,4,*NSYNC,2000
107,0.671,0.967,11,0.0597,0.000736,0.0,0.347,0.609,111.022,228973,4,*NSYNC,2000
108,0.649,0.975,7,0.106,0.0159,3.31e-05,0.181,0.856,177.809,261427,4,*NSYNC,2000
109,0.757,0.969,4,0.0381,0.0523,0.0932,0.378,0.853,111.949,208733,4,*NSYNC,2000
110,0.519,0.67,0,0.0322,0.364,0.0,0.121,0.377,142.481,288760,4,*NSYNC,2000
111,0.702,0.731,7,0.0328,0.211,2.45e-06,0.164,0.828,99.989,234960,4,*NSYNC,2000
112,0.285,0.28,0,0.0339,0.905,0.0,0.131,0.215,161.053,202333,4,*NSYNC,2000
113,0.794,0.789,11,0.0356,0.107,0.0,0.311,0.959,104.002,201107,4,*NSYNC,2000
114,0.689,0.862,1,0.0423,0.0899,0.000419,0.115,0.897,113.287,206440,4,*NSYNC,2000
115,0.622,0.493,0,0.0253,0.396,0.0,0.0998,0.118,134.73,276867,4,*NSYNC,2000
116,0.746,0.808,6,0.0329,0.00296,0.00443,0.0193,0.521,118.003,330360,4,*NSYNC,2000
117,0.687,0.918,7,0.0392,0.00211,1.26e-05,0.344,0.747,110.06,209400,4,*NSYNC,1998-12-07
118,0.686,0.812,11,0.0434,0.000787,0.0541,0.0398,0.868,103.677,241827,4,*NSYNC,1998-12-07
119,0.75,0.877,0,0.0575,0.0283,0.0,0.527,0.751,113.0,213933,4,*NSYNC,1998-12-07
120,0.656,0.658,2,0.0261,0.0354,0.0,0.0437,0.609,85.076,224427,4,*NSYNC,1998-12-07
121,0.375,0.527,10,0.0507,0.449,0.0,0.305,0.303,167.242,241493,4,*NSYNC,1998-12-07
122,0.692,0.934,5,0.0393,0.068,0.000331,0.0707,0.891,116.648,211200,4,*NSYNC,1998-12-07
123,0.54,0.986,9,0.037,3.34e-05,8.26e-06,0.369,0.868,129.987,192627,4,*NSYNC,1998-12-07
124,0.751,0.939,8,0.0466,0.0521,0.00056,0.477,0.905,112.041,200440,4,*NSYNC,1998-12-07
125,0.524,0.732,9,0.0542,0.147,0.0,0.139,0.379,83.023,235133,4,*NSYNC,1998-12-07
126,0.562,0.718,9,0.0269,0.0433,0.0,0.174,0.51,86.964,240733,4,*NSYNC,1998-12-07
127,0.731,0.898,9,0.0359,0.0021,1.79e-05,0.387,0.901,115.905,219360,4,*NSYNC,1998-12-07
128,0.409,0.707,9,0.0322,0.041,0.000934,0.373,0.254,75.023,275267,4,*NSYNC,1998-12-07
129,0.729,0.888,2,0.176,0.0402,0.0,0.856,0.694,93.045,248267,4,*NSYNC,1998-12-07
130,0.776,0.888,9,0.0396,0.102,0.0,0.176,0.779,107.992,215000,4,*NSYNC,1998-12-07
131,0.776,0.881,9,0.0388,0.0951,0.0,0.0851,0.788,108.004,215707,4,*NSYNC,1998-11-13
132,0.587,0.527,10,0.0339,0.435,0.0,0.302,0.301,84.021,241507,4,*NSYNC,1998-11-13
133,0.567,0.715,9,0.027,0.0469,0.0,0.17,0.511,86.962,240667,4,*NSYNC,1998-11-13
134,0.527,0.728,9,0.0477,0.148,0.0,0.133,0.347,83.023,235267,4,*NSYNC,1998-11-13
135,0.686,0.793,10,0.0411,0.000682,0.038,0.0494,0.786,103.688,241867,4,*NSYNC,1998-11-13
136,0.706,0.939,9,0.0316,0.0181,0.000125,0.31,0.912,118.019,206827,4,*NSYNC,1998-11-13
137,0.65,0.934,5,0.0474,0.116,0.0,0.867,0.737,105.001,252200,4,*NSYNC,1998-11-13
138,0.589,0.823,7,0.0257,0.145,0.000226,0.381,0.604,95.018,223440,4,*NSYNC,1998-11-13
139,0.53,0.58,8,0.0259,0.00795,0.0,0.182,0.25,153.961,272507,3,*NSYNC,1998-11-13
140,0.27,0.281,2,0.0268,0.784,1.05e-05,0.296,0.197,98.377,234467,3,*NSYNC,1998-11-13
141,0.695,0.741,8,0.0343,0.0726,0.0,0.356,0.725,126.062,244600,4,*NSYNC,1998-11-13
142,0.486,0.749,2,0.0263,0.00455,0.0,0.351,0.335,83.311,208267,3,*NSYNC,1998-11-13
143,0.776,0.881,9,0.0388,0.0951,0.0,0.0851,0.788,108.004,215707,4,*NSYNC,1998-11-06
144,0.587,0.527,10,0.0339,0.435,0.0,0.302,0.301,84.021,241507,4,*NSYNC,1998-11-06
145,0.567,0.715,9,0.027,0.0469,0.0,0.17,0.511,86.962,240667,4,*NSYNC,1998-11-06
146,0.527,0.728,9,0.0477,0.148,0.0,0.133,0.347,83.023,235267,4,*NSYNC,1998-11-06
