,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
228,0.47,0.756,10,0.0383,0.00337,0.0,0.145,0.521,77.1,227120,4,One Direction,2014-09-29
229,0.483,0.793,10,0.083,0.0167,0.0,0.0868,0.285,127.957,202787,4,One Direction,2014-05-27
230,0.581,0.459,1,0.0287,0.239,0.0,0.108,0.277,131.004,229933,4,One Direction,2014-05-23
231,0.483,0.793,10,0.083,0.0167,0.0,0.0868,0.285,127.957,202787,4,One Direction,2014-05-23
232,0.59,0.273,1,0.028,0.0826,0.000875,0.0683,0.282,131.048,242147,4,One Direction,2014-05-23
233,0.597,0.226,1,0.0353,0.837,0.0,0.11,0.187,130.807,222413,4,One Direction,2014-05-23
234,0.6,0.663,3,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4,One Direction,2014-03-07
235,0.45,0.807,3,0.0691,0.112,0.0,0.927,0.185,120.952,258707,4,One Direction,2014-03-07
236,0.507,0.889,8,0.0468,0.00104,0.0,0.931,0.493,83.992,255320,4,One Direction,2014-03-07
237,0.566,0.933,5,0.127,0.000138,5.63e-06,0.853,0.491,142.902,207787,4,One Direction,2014-03-07
238,0.438,0.86,6,0.0897,0.00621,0.0,0.531,0.609,155.615,175213,4,One Direction,2014-03-07
239,0.45,0.807,3,0.0691,0.112,0.0,0.927,0.185,120.952,258707,4,One Direction,2014-03-07
240,0.507,0.889,8,0.0468,0.00104,0.0,0.931,0.493,83.992,255320,4,One Direction,2014-03-07
241,0.566,0.933,5,0.127,0.000138,5.63e-06,0.853,0.491,142.902,207787,4,One Direction,2014-03-07
242,0.606,0.663,3,0.0473,0.242,0.0,0.145,0.293,120.967,244560,4,One Direction,2013-10-28
243,0.654,0.877,1,0.045,0.025,0.0,0.0699,0.561,118.499,202440,4,One Direction,2013-07-22
244,0.728,0.725,1,0.0584,0.000278,0.0,0.336,0.561,128.013,188520,4,One Direction,2013-07-22
245,0.702,0.883,1,0.0951,0.109,0.0,0.07,0.773,126.993,185760,4,One Direction,2013-07-22
246,0.527,0.882,1,0.0633,0.0344,0.0,0.382,0.503,125.986,190667,4,One Direction,2013-07-22
247,0.654,0.877,1,0.045,0.025,0.0,0.0699,0.561,118.499,202440,4,One Direction,2013-07-22
248,0.728,0.725,1,0.0584,0.000278,0.0,0.336,0.561,128.013,188520,4,One Direction,2013-07-22
249,0.702,0.883,1,0.0951,0.109,0.0,0.07,0.773,126.993,185760,4,One Direction,2013-07-22
